phylum,genus,count
Bacteroidota,Coprobacter,1
Bacteroidota,Dysgonomonas,1
Bacteroidota,Haliscomenobacter,1
Bacteroidota,Hoylesella,1
Bacteroidota,Marinifilum,1
Bacteroidota,Perlabentimonas,1
Bacteroidota,Prevotella,1
Bacteroidota,Rikenella,1
Bacteroidota,Saccharicrinis,1
Bacteroidota,Tannerella,1
Bdellovibrionota,Bdellovibrio,1
Bdellovibrionota,Fluviispira,1
Bdellovibrionota,Halobacteriovorax,1
Bdellovibrionota,Oligoflexus,1
Calditrichota,Calorithrix,1
Campylobacterota,Sulfurovum,1
Chlorobiota,Prosthecochloris,1
Chloroflexota,Aggregatilinea,1
Chloroflexota,Thermanaerothrix,1
Chloroflexota,Thermomarinilinea,1
Cyanobacteriota,Gloeocapsopsis,1
Cyanobacteriota,Ramsaria,1
Cyanobacteriota,Sodalinema,1
Fusobacteriota,Fusobacterium,1
Lentisphaerota,Oligosphaera,1
Methanobacteriota,Methanocorpusculum,1
Mycoplasmatota,Mycoplasmoides,1
Myxococcota,Byssovorax,1
Myxococcota,Phaselicystis,1
Planctomycetota,Aureliella,1
Planctomycetota,Bythopirellula,1
Planctomycetota,Gemmata,1
Planctomycetota,Neorhodopirellula,1
Pseudomonadota,Aliidongia,1
Pseudomonadota,Aliihoeflea,1
Pseudomonadota,Alteraurantiacibacter,1
Pseudomonadota,Altererythrobacter,1
Pseudomonadota,Ancylobacter,1
Pseudomonadota,Azohydromonas,1
Pseudomonadota,Bartonella,1
Pseudomonadota,Bauldia,1
Pseudomonadota,Beijerinckia,1
Pseudomonadota,Bordetella,1
Pseudomonadota,Caedimonas,1
Pseudomonadota,Caenimicrobium,1
Pseudomonadota,Candidimonas,1
Pseudomonadota,Dokdonella,1
Pseudomonadota,Ectothiorhodospira,1
Pseudomonadota,Ensifer,1
Pseudomonadota,Erythrobacter,1
Pseudomonadota,Frigidibacter,1
Pseudomonadota,Gellertiella,1
Pseudomonadota,Haematobacter,1
Pseudomonadota,Hoeflea,1
Pseudomonadota,Indioceanicola,1
Pseudomonadota,Kaistia,1
