tax	AmbarAyunda_minimap2_16S	total
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium modestum	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium aestuarii	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus faecihominis	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium moniliforme	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium malenominatum	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;Brevibacillus borstelensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Rummeliibacillus;Rummeliibacillus pycnus	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillales_Incertae_sedis;Exiguobacterium;Exiguobacterium acetylicum	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Youngiibacter;Youngiibacter multivorans	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiales Family XVII. Incertae Sedis;Thermaerobacter;Thermaerobacter marianensis	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Tepidimonas;Tepidimonas arfidensis	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Castellaniella;Castellaniella defragrans	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter pulmonis	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella;Olegusella massiliensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus halotolerans	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Alkalicoccobacillus;Alkalicoccobacillus murimartini	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus australimaris	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus;Tumebacillus ginsengisoli	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pusillibacter;Pusillibacter faecalis	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;Hydrogenophaga soli	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus helianthi	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus chungangensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus apiarius	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium limneticum	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Bhargavaea;Bhargavaea ginsengi	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Bhargavaea;Bhargavaea massiliensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus hispanicus	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus macerans	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus faecalis	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Propionicicella;Propionicicella superfundia	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Aestuariimicrobium;Aestuariimicrobium ganziense	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium phoceense	2.0	2.0
Bacteria;Bacillati;Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Paracholeplasma;Paracholeplasma vituli	2.0	2.0
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Tissierellaceae;Tissierella;Tissierella praeacuta	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus comes	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerosacchariphilus;Anaerosacchariphilus polymeriproducens	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia brookingsii	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna aminovalerica	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus silvae	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus pueri	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus massiliensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus nicotianae	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Liberibacter;Liberibacter crescens	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Peteryoungia;Peteryoungia ipomoeae	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium aquaticum	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium;Agrobacterium cavarae	2.0	2.0
Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Sulfurospirillaceae;Sulfurospirillum;Sulfurospirillum halorespirans	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium chromiireducens	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium amazonense	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium baratii	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Intestinibacillus;Intestinibacillus massiliensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Anaerophilus;Anaerophilus nitritogenes	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] scindens	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora aerotolerans	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Jutongia;Jutongia huaianensis	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Denitratimonas;Denitratimonas tolerans	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;Zoogloea ramigera	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;Thauera butanivorans	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;Thauera propionica	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae;Dietzia;Dietzia lutea	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium variabile	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Sporolactobacillaceae;Pullulanibacillus;Pullulanibacillus pueri	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Macrococcoides;Macrococcoides caseolyticum	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Pseudorhodoplanes;Pseudorhodoplanes sinuspersici	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Niallia;Niallia circulans	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;Lysinibacillus louembei	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Evansella;Evansella tamaricis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus salipaludis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sanguinis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus mojavensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus ndiopicus	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus pumilus	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;Curvibacter fontanus	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Eubacteriales Family XIII. Incertae Sedis_Incertae_sedis;[Eubacterium] brachy	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Eubacteriales Family XIII. Incertae Sedis_Incertae_sedis;[Eubacterium] infirmum	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;[Eubacterium] cellulosolvens	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Dysosmobacter;Dysosmobacter welbionis	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium duncaniae	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter arvalis	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Ellagibacter;Ellagibacter isourolithinifaciens	2.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Mucinivorans;Mucinivorans hirudinis	2.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Tidjanibacter;Tidjanibacter massiliensis	2.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes dispar	2.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii	2.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium aquaticum	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia lucknowensis	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia sediminis	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium album	2.0	2.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Chondromyces;Chondromyces pediculatus	2.0	2.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Racemicystis;Racemicystis crocea	2.0	2.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Sorangium;Sorangium cellulosum	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Oleisolibacter;Oleisolibacter albus	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;Paracoccus contaminans	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;Paracoccus jeotgali	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Falsigemmobacter;Falsigemmobacter faecalis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus tengchongensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus seodonensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Frisingicoccus;Frisingicoccus caecimuris	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mobilisporobacter;Mobilisporobacter senegalensis	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter bohemicus	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas;Methylomonas koyamae	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Luteimonas;Luteimonas dalianensis	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium silvaticum	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium kalinowskii	2.0	2.0
Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta;Sediminispirochaeta bajacaliforniensis	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces thermospinosisporus	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces toxytricini	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces minihominis	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Bowdeniella;Bowdeniella nasicola	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Flaviflexus;Flaviflexus equikiangi	2.0	2.0
Bacteria;Bacillati;Bacillota;Desulfitisporia;Desulfitisporales;Desulfitisporaceae;Desulfitispora;Desulfitispora elongata	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus acididurans	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus auripigmenti	2.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides graminisolvens	2.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprocola	2.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	2.0	2.0
Bacteria;Pseudomonadati;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter;Vicinamibacter silvestris	2.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecimuris	2.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Eubacteriales_Incertae_sedis;[Bacteroides] pectinophilus	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax carolinensis	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax defluvii	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax radicis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Shouchella;Shouchella shacheensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Peribacillus;Peribacillus tepidiphilus	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Priestia;Priestia flexa	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Shouchella;Shouchella clausii	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium amycolatum	2.0	2.0
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Helcococcus;Helcococcus seattlensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Murdochiella;Murdochiella asaccharolytica	2.0	2.0
Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Massilibacillus;Massilibacillus massiliensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	2.0	2.0
Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Breznakiellaceae;Gracilinema;Gracilinema caldarium	2.0	2.0
Bacteria;Bacillati;Bacillota;Desulfitisporia;Desulfitisporales;Desulfitisporaceae;Desulfitispora;Desulfitispora alkaliphila	2.0	2.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Pelorhabdus;Pelorhabdus rhamnosifermentans	2.0	2.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Pelosinus;Pelosinus defluvii	2.0	2.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Acetonema;Acetonema longum	2.0	2.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	2.0	2.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;Mitsuokella jalaludinii	2.0	2.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Pectinatus;Pectinatus frisingensis	2.0	2.0
Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Lactimicrobium;Lactimicrobium massiliense	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Neoactinobaculum;Neoactinobaculum massilliense	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Pseudaquidulcibacter;Pseudaquidulcibacter saccharophilus	2.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter;Leucobacter musarum	2.0	2.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Thermoguttaceae;Thermogutta;Thermogutta terrifontis	2.0	2.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Botrimarina;Botrimarina hoheduenensis	2.0	2.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Botrimarina;Botrimarina mediterranea	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;Ligilactobacillus animalis	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus;Lactiplantibacillus pentosus	2.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus pseudoavium	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Ciceribacter;Ciceribacter naphthalenivorans	2.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium atlanticum	2.0	2.0
Archaea;Methanobacteriati;Methanobacteriota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;Methanocorpusculum parvum	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium wilhelmae	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Buchananella;Buchananella hordeovulneris	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Changpingibacter;Changpingibacter yushuensis	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Flaviflexus;Flaviflexus ciconiae	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Flaviflexus;Flaviflexus massiliensis	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium callimiconis	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium miconis	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Cumulibacter;Cumulibacter manganitolerans	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter aerolatus	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter speluncae	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus gypseus	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus rubinsiae	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus xinjiangensis	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kineosporiales;Kineosporiaceae;Pseudokineococcus;Pseudokineococcus galaxeicola	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kineosporiales;Kineosporiaceae;Thalassiella;Thalassiella azotivora	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Kitasatospora;Kitasatospora aureofaciens	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces alkaliterrae	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces manipurensis	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces subrutilus	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces urticae	1.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Yinghuangia;Yinghuangia aomiensis	1.0	1.0
Bacteria;Pseudomonadati;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulforhabdus;Desulforhabdus amnigena	1.0	1.0
Bacteria;Pseudomonadati;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;Syntrophobacter wolinii	1.0	1.0
Bacteria;Pseudomonadati;Verrucomicrobiota;Opitutia;Opitutales;Opitutaceae;Oleiharenicola;Oleiharenicola lentus	1.0	1.0
Bacteria;Pseudomonadati;Verrucomicrobiota;Opitutia;Opitutales;Opitutaceae;Opitutus;Opitutus terrae	1.0	1.0
Bacteria;Pseudomonadati;Verrucomicrobiota;Opitutia;Puniceicoccales;Cerasicoccaceae;Ruficoccus;Ruficoccus amylovorans	1.0	1.0
