TaxonPath	TaxID	ResolutionSource
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Prescottella;Prescottella soli	1543852	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcoides	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcoides;Rhodococcoides corynebacterioides	53972	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus	1827	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus aetherivorans	191292	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus gordoniae	223392	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus phenolicus	263849	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus pyridinivorans	103816	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus rhodochrous	1829	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus ruber	1830	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Nakamurellales	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Nakamurellales;Nakamurellaceae	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Nakamurellales;Nakamurellaceae;Nakamurella	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella endophytica	1748367	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales	85009	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella;Kribbella flavida	182640	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella;Kribbella italica	1540520	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae	85015	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium	2040	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium alkaliterrae	302168	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium camelliae	1538144	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium choanae	1736691	assignment
