SampleID	Depth	RankCode	NodeName	TaxonPath	TaxID	Status	ResolutionSource
Helga-16SrRNA-NCBI	8	S	Terrimonas soli	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas soli	2024524	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Terrimonas terrae	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas terrae	1864941	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Terrimonas arctica	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas arctica	1507286	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Flavitalea	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Flavitalea populi	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea;Flavitalea populi	796384	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Flavitalea flava	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea;Flavitalea flava	1892851	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Flavitalea gansuensis	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea;Flavitalea gansuensis	708199	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Flavihumibacter	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavihumibacter	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Flavihumibacter cheonanensis	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavihumibacter;Flavihumibacter cheonanensis	1442385	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Flavipsychrobacter	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavipsychrobacter	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Flavipsychrobacter stenotrophus	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavipsychrobacter;Flavipsychrobacter stenotrophus	2077091	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Paraflavitalea	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Paraflavitalea	0	Unresolved	unresolved
Helga-16SrRNA-NCBI	8	S	Paraflavitalea devenefica	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Paraflavitalea;Paraflavitalea devenefica	2716334	Resolved	assignment
