dataset	scenario	min_identity	min_ref_coverage	inferred_taxid	superkingdom	kingdom	phylum	class	order	family	genus	species	newly_rescued_reads
BLEA	identity_88	88	90	1550024	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruthenibacterium	Ruthenibacterium lactatiformans	10
BLEA	identity_88	88	90	29350	Bacteria	Bacillati	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter thermocopriae	9
BLEA	identity_88	88	90	29353	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio aldrichii	9
BLEA	identity_88	88	90	55969	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter komagatae	9
BLEA	identity_88	88	90	116090	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Caloranaerobacter	Caloranaerobacter azorensis	9
BLEA	identity_88	88	90	118246	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus terrenus	9
BLEA	identity_88	88	90	214856	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii	9
BLEA	identity_88	88	90	1122184	Bacteria	Bacillati	Bacillota	Clostridia	Lutisporales	Lutisporaceae	Lutispora	Lutispora thermophila	9
BLEA	identity_88	88	90	1859103	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Sporosalibacterium	Sporosalibacterium tautonense	9
BLEA	identity_88	88	90	2109914	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia oryzae	9
BLEA	identity_88	88	90	2697030	Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Aminipila	Aminipila terrae	9
BLEA	identity_88	88	90	2806205	Bacteria	Bacillati	Bacillota	unclassified Bacillota class	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor diazotrophicus	9
BLEA	identity_88	88	90	521	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella avium	8
BLEA	identity_88	88	90	29372	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium thermobutyricum	8
BLEA	identity_88	88	90	243164	Bacteria	Bacillati	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	8
BLEA	identity_88	88	90	360412	Bacteria	Bacillati	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Longilinea	Longilinea arvoryzae	8
BLEA	identity_88	88	90	580340	Bacteria	Thermotogati	Synergistota	Synergistia	Synergistales	Thermovirgaceae	Thermovirga	Thermovirga lienii	8
BLEA	identity_88	88	90	1006576	Bacteria	Thermotogati	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Defluviitoga	Defluviitoga tunisiensis	8
BLEA	identity_88	88	90	1246530	Bacteria	Bacillati	Bacillota	Clostridia	Moorellales	Calderihabitantaceae	Calderihabitans	Calderihabitans maritimus	8
BLEA	identity_88	88	90	1247510	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Verticiella	Verticiella sediminum	8
BLEA	identity_88	88	90	1481665	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	Advenella alkanexedens	8
BLEA	identity_88	88	90	1562970	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Fermentimonas	Fermentimonas caenicola	8
BLEA	identity_88	88	90	1768907	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	Pseudohongiella nitratireducens	8
BLEA	identity_88	88	90	1792311	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Petroclostridium	Petroclostridium xylanilyticum	8
BLEA	identity_88	88	90	2305463	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Maribellus	Maribellus luteus	8
BLEA	identity_88	88	90	2714934	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter insecticola	8
BLEA	identity_88	88	90	2082	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Syntrophomonas	Syntrophomonas bryantii	7
BLEA	identity_88	88	90	2734	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium thermophilum	7
BLEA	identity_88	88	90	44749	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Sporobacter	Sporobacter termitidis	7
BLEA	identity_88	88	90	55779	Bacteria	Bacillati	Bacillota	Clostridia	Moorellales	Moorellaceae	Moorella	Moorella glycerini	7
BLEA	identity_88	88	90	186651	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga subterranea	7
BLEA	identity_88	88	90	317019	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides dubius	7
BLEA	identity_88	88	90	515415	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium invictum	7
BLEA	identity_88	88	90	662960	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter exalbidus	7
BLEA	identity_88	88	90	699281	Bacteria	Bacillati	Bacillota	Clostridia	Caldicoprobacterales	Caldicoprobacteraceae	Caldicoprobacter	Caldicoprobacter algeriensis	7
BLEA	identity_88	88	90	913107	Bacteria	Bacillati	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Pelolinea	Pelolinea submarina	7
BLEA	identity_88	88	90	1278232	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Tepidimicrobiaceae	Keratinibaculum	Keratinibaculum paraultunense	7
BLEA	identity_88	88	90	1323370	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Caloranaerobacter	Caloranaerobacter ferrireducens	7
BLEA	identity_88	88	90	1627894	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Lascolabacillus	Lascolabacillus massiliensis	7
BLEA	identity_88	88	90	1686285	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter massiliensis	7
BLEA	identity_88	88	90	1792543	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera phenolivorans	7
BLEA	identity_88	88	90	1958780	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium merdae	7
BLEA	identity_88	88	90	2528022	Bacteria	Pseudomonadati	Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	Botrimarina	Botrimarina mediterranea	7
BLEA	identity_88	88	90	2528593	Bacteria	Bacillati	Bacillota	Clostridia	Moorellales	Zhaonellaceae	Zhaonella	Zhaonella formicivorans	7
BLEA	identity_88	88	90	2681495	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Chelativorans	Chelativorans alearense	7
BLEA	identity_88	88	90	1406	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa	6
BLEA	identity_88	88	90	1559	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium tertium	6
BLEA	identity_88	88	90	29373	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium thermopalmarium	6
BLEA	identity_88	88	90	51173	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus thermosphaericus	6
BLEA	identity_88	88	90	94624	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella petrii	6
BLEA	identity_88	88	90	186116	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Parageobacillus	Parageobacillus thermantarcticus	6
BLEA	identity_88	88	90	292800	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii	6
BLEA	identity_88	88	90	300193	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium trifolii	6
BLEA	identity_88	88	90	558537	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia lacustris	6
BLEA	identity_88	88	90	561088	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Aquamicrobium	Aquamicrobium aerolatum	6
BLEA	identity_88	88	90	622674	Bacteria	Bacillati	Bacillota	Desulfitisporia	Desulfitisporales	Desulfitisporaceae	Desulfitispora	Desulfitispora alkaliphila	6
BLEA	identity_88	88	90	643674	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Paenalcaligenes	Paenalcaligenes hominis	6
BLEA	identity_88	88	90	649638	Bacteria	Thermotogati	Deinococcota	Deinococci	Trueperales	Trueperaceae	Truepera	Truepera radiovictrix	6
BLEA	identity_88	88	90	720554	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio clariflavus	6
BLEA	identity_88	88	90	767817	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Desulfallaceae	Desulfoscipio	Desulfoscipio gibsoniae	6
BLEA	identity_88	88	90	857293	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Caloramator	Caloramator australicus	6
BLEA	identity_88	88	90	947010	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Desulfotomaculaceae	Pelotomaculum	Pelotomaculum isophthalicicum	6
BLEA	identity_88	88	90	1219356	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera butanivorans	6
BLEA	identity_88	88	90	1224748	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	Solibacillus	Solibacillus isronensis	6
BLEA	identity_88	88	90	1462996	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus yonginensis	6
BLEA	identity_88	88	90	1650661	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium phoceensis	6
