dataset	min_identity	min_ref_coverage	classified_reads	newly_rescued_reads	remaining_unclassified	classified_pct	rescued_pct_of_baseline_unclassified
BLEA	88	81	48380	19384	12314	79.7113	61.1521
BLEA	88	80	48740	19744	11954	80.3045	62.2878
BLEA	87	90	40734	11738	19960	67.1137	37.0307
BLEA	87	89	41116	12120	19578	67.7431	38.2359
BLEA	87	88	41728	12732	18966	68.7514	40.1666
BLEA	87	87	42848	13852	17846	70.5968	43.6999
BLEA	87	86	44710	15714	15984	73.6646	49.5741
BLEA	87	85	47351	18355	13343	78.0159	57.9059
BLEA	87	84	50591	21595	10103	83.3542	68.1273
BLEA	87	83	51479	22483	9215	84.8173	70.9288
BLEA	87	82	51953	22957	8741	85.5982	72.4241
BLEA	87	81	52401	23405	8293	86.3364	73.8375
BLEA	87	80	52796	23800	7898	86.9872	75.0836
BLEA	86	90	42429	13433	18265	69.9064	42.3781
BLEA	86	89	42827	13831	17867	70.5622	43.6337
BLEA	86	88	43451	14455	17243	71.5903	45.6022
BLEA	86	87	44605	15609	16089	73.4916	49.2429
BLEA	86	86	46543	17547	14151	76.6847	55.3568
BLEA	86	85	49338	20342	11356	81.2897	64.1744
BLEA	86	84	52766	23770	7928	86.9378	74.9890
BLEA	86	83	53711	24715	6983	88.4947	77.9702
BLEA	86	82	54223	25227	6471	89.3383	79.5855
BLEA	86	81	54690	25694	6004	90.1078	81.0587
BLEA	86	80	55105	26109	5589	90.7915	82.3680
BLEA	85	90	43263	14267	17431	71.2805	45.0091
BLEA	85	89	43670	14674	17024	71.9511	46.2931
BLEA	85	88	44298	15302	16396	72.9858	48.2743
BLEA	85	87	45465	16469	15229	74.9086	51.9560
BLEA	85	86	47430	18434	13264	78.1461	58.1551
BLEA	85	85	50296	21300	10398	82.8682	67.1967
BLEA	85	84	53803	24807	6891	88.6463	78.2605
BLEA	85	83	54769	25773	5925	90.2379	81.3080
BLEA	85	82	55320	26324	5374	91.1457	83.0462
BLEA	85	81	55799	26803	4895	91.9350	84.5574
BLEA	85	80	56222	27226	4472	92.6319	85.8919
BLEA	84	90	43551	14555	17143	71.7550	45.9177
BLEA	84	89	43968	14972	16726	72.4421	47.2333
BLEA	84	88	44596	15600	16098	73.4768	49.2145
BLEA	84	87	45766	16770	14928	75.4045	52.9055
BLEA	84	86	47737	18741	12957	78.6519	59.1236
BLEA	84	85	50630	21634	10064	83.4185	68.2504
BLEA	84	84	54182	25186	6512	89.2708	79.4561
BLEA	84	83	55158	26162	5536	90.8788	82.5352
BLEA	84	82	55730	26734	4964	91.8213	84.3397
BLEA	84	81	56211	27215	4483	92.6138	85.8572
BLEA	84	80	56637	27641	4057	93.3156	87.2011
BLEA	83	90	43655	14659	17039	71.9264	46.2458
BLEA	83	89	44073	15077	16621	72.6151	47.5645
BLEA	83	88	44702	15706	15992	73.6514	49.5489
BLEA	83	87	45873	16877	14821	75.5808	53.2431
BLEA	83	86	47849	18853	12845	78.8365	59.4769
BLEA	83	85	50752	21756	9942	83.6195	68.6352
BLEA	83	84	54316	25320	6378	89.4915	79.8789
BLEA	83	83	55301	26305	5393	91.1144	82.9863
BLEA	83	82	55880	26884	4814	92.0684	84.8129
BLEA	83	81	56364	27368	4330	92.8659	86.3398
BLEA	83	80	56792	27796	3902	93.5710	87.6901
BLEA	82	90	43708	14712	16986	72.0137	46.4130
BLEA	82	89	44126	15130	16568	72.7024	47.7317
BLEA	82	88	44755	15759	15939	73.7388	49.7161
BLEA	82	87	45932	16936	14762	75.6780	53.4292
BLEA	82	86	47909	18913	12785	78.9353	59.6662
BLEA	82	85	50813	21817	9881	83.7200	68.8277
BLEA	82	84	54384	25388	6310	89.6036	80.0934
BLEA	82	83	55371	26375	5323	91.2298	83.2071
BLEA	82	82	55950	26954	4744	92.1837	85.0338
BLEA	82	81	56436	27440	4258	92.9845	86.5670
BLEA	82	80	56865	27869	3829	93.6913	87.9204
BLEA	81	90	43724	14728	16970	72.0401	46.4635
BLEA	81	89	44142	15146	16552	72.7288	47.7822
BLEA	81	88	44772	15776	15922	73.7668	49.7697
BLEA	81	87	45951	16955	14743	75.7093	53.4892
BLEA	81	86	47929	18933	12765	78.9683	59.7293
BLEA	81	85	50834	21838	9860	83.7546	68.8939
BLEA	81	84	54407	25411	6287	89.6415	80.1659
BLEA	81	83	55396	26400	5298	91.2710	83.2860
BLEA	81	82	55975	26979	4719	92.2249	85.1126
BLEA	81	81	56463	27467	4231	93.0290	86.6522
BLEA	81	80	56893	27897	3801	93.7374	88.0087
BLEA	80	90	43734	14738	16960	72.0565	46.4950
BLEA	80	89	44152	15156	16542	72.7452	47.8137
BLEA	80	88	44782	15786	15912	73.7832	49.8012
BLEA	80	87	45961	16965	14733	75.7258	53.5207
BLEA	80	86	47939	18943	12755	78.9847	59.7609
BLEA	80	85	50845	21849	9849	83.7727	68.9286
BLEA	80	84	54418	25422	6276	89.6596	80.2006
BLEA	80	83	55407	26411	5287	91.2891	83.3207
BLEA	80	82	55986	26990	4708	92.2431	85.1473
BLEA	80	81	56474	27478	4220	93.0471	86.6869
BLEA	80	80	56904	27908	3790	93.7556	88.0434
BGRN	90	90	107605	0	16878	86.4415	0.0000
BGRN	90	89	108298	693	16185	86.9982	4.1059
BGRN	90	88	109565	1960	14918	88.0160	11.6128
BGRN	90	87	110471	2866	14012	88.7438	16.9807
BGRN	90	86	111533	3928	12950	89.5970	23.2729
BGRN	90	85	113038	5433	11445	90.8060	32.1898
BGRN	90	84	114484	6879	9999	91.9676	40.7572
BGRN	90	83	114966	7361	9517	92.3548	43.6130
BGRN	90	82	115174	7569	9309	92.5219	44.8454
BGRN	90	81	115399	7794	9084	92.7026	46.1785
BGRN	90	80	115636	8031	8847	92.8930	47.5827
BGRN	89	90	109716	2111	14767	88.1373	12.5074
BGRN	89	89	110438	2833	14045	88.7173	16.7852
BGRN	89	88	111722	4117	12761	89.7488	24.3927
BGRN	89	87	112669	5064	11814	90.5095	30.0036
BGRN	89	86	113807	6202	10676	91.4237	36.7461
BGRN	89	85	115398	7793	9085	92.7018	46.1725
BGRN	89	84	116952	9347	7531	93.9502	55.3798
BGRN	89	83	117477	9872	7006	94.3719	58.4903
BGRN	89	82	117703	10098	6780	94.5535	59.8294
BGRN	89	81	117951	10346	6532	94.7527	61.2987
BGRN	89	80	118207	10602	6276	94.9583	62.8155
BGRN	88	90	110972	3367	13511	89.1463	19.9490
BGRN	88	89	111712	4107	12771	89.7408	24.3335
BGRN	88	88	113007	5402	11476	90.7811	32.0062
BGRN	88	87	113981	6376	10502	91.5635	37.7770
BGRN	88	86	115163	7558	9320	92.5130	44.7802
BGRN	88	85	116820	9215	7663	93.8441	54.5977
BGRN	88	84	118448	10843	6035	95.1519	64.2434
BGRN	88	83	118999	11394	5484	95.5946	67.5080
BGRN	88	82	119237	11632	5246	95.7858	68.9181
BGRN	88	81	119496	11891	4987	95.9938	70.4527
BGRN	88	80	119761	12156	4722	96.2067	72.0228
BGRN	87	90	111712	4107	12771	89.7408	24.3335
BGRN	87	89	112456	4851	12027	90.3384	28.7416
BGRN	87	88	113760	6155	10723	91.3860	36.4676
BGRN	87	87	114753	7148	9730	92.1837	42.3510
BGRN	87	86	115961	8356	8522	93.1541	49.5082
BGRN	87	85	117665	10060	6818	94.5229	59.6042
BGRN	87	84	119340	11735	5143	95.8685	69.5284
BGRN	87	83	119911	12306	4572	96.3272	72.9115
BGRN	87	82	120156	12551	4327	96.5240	74.3631
BGRN	87	81	120417	12812	4066	96.7337	75.9095
BGRN	87	80	120696	13091	3787	96.9578	77.5625
BGRN	86	90	112105	4500	12378	90.0565	26.6619
BGRN	86	89	112851	5246	11632	90.6558	31.0819
BGRN	86	88	114160	6555	10323	91.7073	38.8375
BGRN	86	87	115161	7556	9322	92.5114	44.7683
BGRN	86	86	116384	8779	8099	93.4939	52.0145
BGRN	86	85	118105	10500	6378	94.8764	62.2112
BGRN	86	84	119816	12211	4667	96.2509	72.3486
BGRN	86	83	120399	12794	4084	96.7192	75.8028
BGRN	86	82	120648	13043	3835	96.9193	77.2781
BGRN	86	81	120913	13308	3570	97.1321	78.8482
BGRN	86	80	121202	13597	3281	97.3643	80.5605
